"EVENT_TYPE","TIMESTAMP","REQUEST_ID","ORGANIZATION_ID","USER_ID","RUN_TIME","CPU_TIME","CLIENT_IP","URI","SESSION_KEY","LOGIN_KEY","REQUEST_STATUS","DB_TOTAL_TIME","API_TYPE","API_VERSION","CLIENT_NAME","METHOD_NAME","ENTITY_NAME","ROWS_PROCESSED","REQUEST_SIZE","RESPONSE_SIZE","DB_BLOCKS","DB_CPU_TIME","QUERY","TIMESTAMP_DERIVED","USER_ID_DERIVED","URI_ID_DERIVED"
"API","20170204040035.440","48zta6nafZQVVimlpuvTk-","00D0Y000000bhrn","0050Y0000010fhW","55","13","34.194.178.125","Api","8eid9XvDWAwUqqmN","lwqzakrDknP1qrEv","","26844695","M","36.0","","meta_retrieve","","","5629","330","1017","30","","2017-02-04T04:00:35.440Z","0050Y0000010fhWQAQ",""
"API","20170204040036.550","48ztaB5u2F4csymlputpi-","00D0Y000000bhrn","0050Y0000010fhW","12","4","34.194.178.125","Api","8eid9XvDWAwUqqmN","lwqzakrDknP1qrEv","","8621593","M","36.0","","meta_deploystatus","","","587","461","71","0","","2017-02-04T04:00:36.550Z","0050Y0000010fhWQAQ",""
"API","20170204040037.662","48ztaFFDvbLG9DmlpuvIL-","00D0Y000000bhrn","0050Y0000010fhW","12","4","34.194.178.125","Api","8eid9XvDWAwUqqmN","lwqzakrDknP1qrEv","","8293099","M","36.0","","meta_deploystatus","","","587","461","71","0","","2017-02-04T04:00:37.662Z","0050Y0000010fhWQAQ",""
"API","20170204040038.774","48ztaJNY2ScWIimlpuuVm-","00D0Y000000bhrn","0050Y0000010fhW","15","5","34.194.178.125","Api","8eid9XvDWAwUqqmN","lwqzakrDknP1qrEv","","9380735","M","36.0","","meta_deploystatus","","","587","461","199","10","","2017-02-04T04:00:38.774Z","0050Y0000010fhWQAQ",""
"API","20170204040039.887","48ztaNWtDASQHymlpuuU--","00D0Y000000bhrn","0050Y0000010fhW","15","4","34.194.178.125","Api","8eid9XvDWAwUqqmN","lwqzakrDknP1qrEv","","11672795","M","36.0","","meta_deploystatus","","","587","461","71","10","","2017-02-04T04:00:39.887Z","0050Y0000010fhWQAQ",""
"API","20170204040040.988","48ztaRddIktcsymlputpi-","00D0Y000000bhrn","0050Y0000010fhW","11","3","34.194.178.125","Api","8eid9XvDWAwUqqmN","lwqzakrDknP1qrEv","","7649573","M","36.0","","meta_deploystatus","","","587","461","43","0","","2017-02-04T04:00:40.988Z","0050Y0000010fhWQAQ",""
"API","20170204040042.083","48ztaVixxOIVVimlpuvTk-","00D0Y000000bhrn","0050Y0000010fhW","10","3","34.194.178.125","Api","8eid9XvDWAwUqqmN","lwqzakrDknP1qrEv","","7619009","M","36.0","","meta_deploystatus","","","587","461","71","10","","2017-02-04T04:00:42.083Z","0050Y0000010fhWQAQ",""
"API","20170204040043.194","48ztaZqqvTGUwTmlputzP-","00D0Y000000bhrn","0050Y0000010fhW","12","4","34.194.178.125","Api","8eid9XvDWAwUqqmN","lwqzakrDknP1qrEv","","8615053","M","36.0","","meta_deploystatus","","","587","461","71","0","","2017-02-04T04:00:43.194Z","0050Y0000010fhWQAQ",""
"API","20170204040044.321","48ztacyAErVWIimlpuuVm-","00D0Y000000bhrn","0050Y0000010fhW","36","16","34.194.178.125","Api","8eid9XvDWAwUqqmN","lwqzakrDknP1qrEv","","17302059","M","36.0","","meta_deploystatus","","","587","287976","96","0","","2017-02-04T04:00:44.321Z","0050Y0000010fhWQAQ",""
"API","20170204040050.862","48ztb-B9804SUimlpuuf3-","00D0Y000000bhrn","0050Y0000010fhW","344","61","34.194.178.125","Api","8eid9XvDWAwUqqmN","lwqzakrDknP1qrEv","","237544476","M","36.0","","meta_deploystatus","","","586","956160","4918","70","","2017-02-04T04:00:50.862Z","0050Y0000010fhWQAQ",""
